City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,santa terezinha,-29.9002,-50.0904,292.6,93,100,9.65,BR,1701205593
1,ushuaia,-54.8,-68.3,279.96,81,75,12.35,AR,1701206187
2,hermanus,-34.4187,19.2345,290.81,69,47,5.78,ZA,1701206173
3,port-aux-francais,-49.35,70.2167,278.87,98,100,13.59,TF,1701206181
4,kourou,5.1552,-52.6478,302.18,80,21,3.46,GF,1701206188
5,college,64.8569,-147.8028,265.62,89,75,1.54,US,1701206188
6,flying fish cove,-10.4217,105.6791,298.76,69,97,7.43,CX,1701206189
7,talnakh,69.4865,88.3972,249.49,97,31,2.05,RU,1701206179
8,georgetown,5.4112,100.3354,299.11,83,20,1.54,MY,1701205955
9,adamstown,-25.066,-130.1015,296.38,86,85,7.08,PN,1701206175
10,grytviken,-54.2811,-36.5092,273.26,67,7,4.44,GS,1701206146
11,arkhangel'sk,64.5401,40.5433,267.11,88,100,4.93,RU,1701206191
12,dzerzhinsk,56.2389,43.4631,270.05,74,75,2.0,RU,1701206191
13,reggane,26.7158,0.1714,291.81,23,100,3.02,DZ,1701205606
14,qaqortoq,60.7167,-46.0333,267.43,62,100,3.98,GL,1701206192
15,papatowai,-46.5619,169.4708,283.23,57,92,5.88,NZ,1701206193
16,colonia,50.9333,6.95,273.69,83,0,3.09,DE,1701206194
17,kalianget,-7.05,113.9333,300.26,79,99,0.84,ID,1701206195
18,hawaiian paradise park,19.5933,-154.9731,300.3,78,20,4.63,US,1701206178
19,ust'-kut,56.7938,105.7672,253.54,100,100,0.95,RU,1701206195
20,waitangi,-43.9535,-176.5597,288.61,91,91,2.68,NZ,1701206172
21,anadyr,64.75,177.4833,270.43,86,40,7.0,RU,1701206196
22,edinburgh of the seven seas,-37.0676,-12.3116,287.51,84,86,8.34,SH,1701206179
23,hami,42.8,93.45,275.15,32,6,2.45,CN,1701206197
24,gagarin,55.5529,34.9954,261.42,97,77,3.81,RU,1701206197
25,labasa,-16.4167,179.3833,303.13,66,7,2.88,FJ,1701206198
26,ta`u,-14.2336,-169.5144,300.72,81,100,7.78,AS,1701206198
27,twon-brass,4.3151,6.2418,300.52,79,72,4.43,NG,1701206199
28,at tall al kabir,30.5445,31.7853,288.12,56,78,3.29,EG,1701206199
29,sydney,-33.8679,151.2073,294.06,86,100,1.79,AU,1701205674
30,yemva,62.59,50.8594,266.31,95,100,2.58,RU,1701206200
31,chamical,-30.36,-66.314,308.1,35,17,10.73,AR,1701206200
32,bridgewater,44.3835,-64.5155,273.97,94,88,3.09,CA,1701206201
33,kapuskasing,49.4169,-82.4331,262.2,73,100,6.17,CA,1701206201
34,mount gambier,-37.8333,140.7667,287.58,91,100,6.08,AU,1701206202
35,margaret river,-33.95,115.0667,287.69,90,2,1.4,AU,1701206202
36,bel ombre,-4.6167,55.4167,299.06,83,20,2.06,SC,1701206202
37,lihue,21.9789,-159.3672,295.92,86,75,4.12,US,1701206030
38,ust-nera,64.5667,143.2,252.16,99,100,1.44,RU,1701206175
39,aswan,24.0934,32.907,292.0,38,32,4.57,EG,1701206204
40,sargatskoye,55.6101,73.4972,269.8,86,100,5.0,RU,1701206204
41,remire-montjoly,4.9167,-52.2667,302.17,74,20,4.63,GF,1701206204
42,natal,-5.795,-35.2094,299.51,83,40,3.6,BR,1701206194
43,invercargill,-46.4,168.35,283.72,74,89,4.47,NZ,1701206172
44,yellowknife,62.456,-114.3525,261.44,95,75,1.03,CA,1701205992
45,blackmans bay,-43.0167,147.3167,287.22,96,85,0.45,AU,1701206206
46,gevas,38.2968,43.1083,269.93,48,0,2.33,TR,1701206206
47,saint-francois,46.4154,3.9054,275.84,87,100,1.03,FR,1701205614
48,alesund,62.4723,6.1549,270.23,70,20,11.32,NO,1701206139
49,carnarvon,-24.8667,113.6333,293.88,65,64,6.32,AU,1701206207
50,cerqueira cesar,-23.0356,-49.1661,299.88,62,99,1.84,BR,1701206208
51,savanna-la-mar,18.219,-78.1332,303.11,79,88,0.78,JM,1701206208
52,saint-joseph,-21.3667,55.6167,295.36,82,23,2.94,RE,1701206209
53,pacific grove,36.6177,-121.9166,292.82,52,0,6.26,US,1701206209
54,iskateley,67.6803,53.1512,255.94,95,100,4.92,RU,1701206209
55,olonkinbyen,70.9221,-8.7187,275.12,76,100,3.96,SJ,1701206210
56,pathein,16.7833,94.7333,294.66,81,25,2.33,MM,1701206210
57,puerto natales,-51.7236,-72.4875,281.67,61,49,6.38,CL,1701206211
58,banda aceh,5.5577,95.3222,299.09,84,97,2.82,ID,1701206211
59,kalabo,-14.97,22.6814,296.44,61,95,1.97,ZM,1701206212
60,nizhniy kuranakh,58.8353,125.4869,255.89,97,100,3.03,RU,1701206212
61,bethel,41.3712,-73.414,274.68,49,0,4.63,US,1701206213
62,callao,-12.0667,-77.15,294.31,73,40,6.69,PE,1701206038
63,mejit,10.2753,170.8646,300.24,70,99,7.95,MH,1701206214
64,malango,-2.9627,119.9001,292.72,97,100,0.79,ID,1701206214
65,inarajan village,13.2736,144.7484,301.23,86,13,9.26,GU,1701206215
66,baganga,7.5739,126.56,298.81,87,75,1.42,PH,1701206216
67,atafu village,-8.5421,-172.5159,300.41,82,100,5.19,TK,1701206216
68,faridkot,30.6667,74.75,289.97,53,31,1.4,IN,1701206216
69,slupsk,54.4641,17.0287,270.35,93,100,3.78,PL,1701206217
70,phalaborwa,-23.943,31.1411,304.75,35,79,0.69,ZA,1701206217
71,mabaruma,8.2,-59.7833,303.15,70,20,3.09,GY,1701206218
72,port mathurin,-19.6833,63.4167,297.96,73,15,3.94,MU,1701206218
73,san juan de uraba,8.7592,-76.5297,301.49,87,38,2.97,CO,1701206219
74,henderson,36.0397,-114.9819,289.71,20,0,4.12,US,1701206106
75,san antonio de pale,-1.4014,5.6325,300.07,81,23,3.95,GQ,1701206219
76,ribeira grande,38.5167,-28.7,292.47,94,75,6.26,PT,1701206220
77,ilulissat,69.2167,-51.1,266.16,53,87,11.32,GL,1701206220
78,udachny,66.4167,112.4,255.62,84,100,9.86,RU,1701206221
79,st. paul,44.9444,-93.0933,274.63,64,40,7.6,US,1701206221
80,karmaskaly,54.3709,56.1837,273.1,99,100,3.91,RU,1701206222
81,lumphat,13.4878,106.9816,293.18,85,79,1.73,KH,1701206222
82,kodiak,57.79,-152.4072,278.88,75,100,14.4,US,1701206222
83,bredasdorp,-34.5322,20.0403,289.61,66,19,4.68,ZA,1701206223
84,tangier,35.7806,-5.8137,291.73,88,75,2.57,MA,1701206223
85,albany,42.6001,-73.9662,272.92,78,53,0.89,US,1701206073
86,keflavik,64.0049,-22.5624,275.1,86,75,4.12,IS,1701206224
87,jianshui,23.6363,102.8264,283.5,95,5,1.53,CN,1701206225
88,mendota,36.7536,-120.3816,292.77,22,0,2.35,US,1701206225
89,sanibel,26.449,-82.0223,291.51,55,100,2.24,US,1701206225
90,carlos chagas,-17.7031,-40.7664,304.86,30,75,6.16,BR,1701206226
91,iqaluit,63.7506,-68.5145,272.0,92,100,9.26,CA,1701206177
92,taoudenni,22.6783,-3.9836,294.51,14,82,2.99,ML,1701206227
93,pakruojis,55.9667,23.8667,269.59,95,54,3.51,LT,1701206227
94,lorena,-22.7308,-45.1247,298.22,69,75,4.12,BR,1701206228
95,tiksi,71.6872,128.8694,256.48,90,100,8.37,RU,1701206228
96,puerto aysen,-45.4,-72.7,282.51,99,100,3.18,CL,1701206229
97,howard springs,-12.497,131.047,301.41,94,30,1.94,AU,1701206229
98,manokwari,-0.8667,134.0833,298.78,80,100,1.47,ID,1701206230
99,kuching,1.55,110.3333,299.83,99,40,1.03,MY,1701206101
100,whitehorse,60.7161,-135.0538,268.58,67,20,2.06,CA,1701206231
101,kirakira,-10.4544,161.9205,301.23,83,58,3.51,SB,1701206232
102,puerto armuelles,8.2833,-82.8667,303.14,71,66,1.79,PA,1701206232
103,cole harbour,44.6724,-63.4751,274.86,94,75,8.23,CA,1701206232
104,humaita,-7.5061,-63.0208,303.43,56,95,1.59,BR,1701206233
105,tura,25.5198,90.2201,291.55,69,99,1.19,IN,1701206233
106,zyryanovsk,49.7386,84.2719,259.68,94,35,0.8,KZ,1701206234
107,suntar,62.1444,117.6319,252.65,94,71,2.44,RU,1701206234
108,borzya,50.3833,116.5167,251.27,88,99,2.62,RU,1701206235
109,nova vicosa,-17.8919,-39.3719,298.72,80,57,6.31,BR,1701206236
110,macau,22.2006,113.5461,295.04,83,40,5.14,MO,1701206236
111,bougouni,11.417,-7.479,300.96,49,58,1.57,ML,1701206237
112,lebu,-37.6167,-73.65,286.29,70,5,6.85,CL,1701206237
113,mersa matruh,31.3525,27.2453,290.31,49,84,4.12,EG,1701206238
114,nar'yan-mar,67.6713,53.087,255.99,95,100,4.92,RU,1701206238
115,hilo,19.7297,-155.09,300.42,74,20,4.63,US,1701206142
116,luau,-10.7073,22.2247,291.19,97,58,1.81,AO,1701206239
117,tolanaro,-25.0319,46.9987,297.9,84,1,6.97,MG,1701206240
118,geraldton,-28.7667,114.6,292.38,77,75,3.6,AU,1701206240
119,manamadurai,9.7,78.4833,297.2,92,89,3.42,IN,1701206241
120,ozorkow,51.9634,19.2914,269.49,97,100,3.25,PL,1701206241
121,salalah,17.0151,54.0924,298.2,73,0,1.54,OM,1701206242
122,amos,48.5669,-78.1162,263.04,89,100,5.28,CA,1701206078
123,souillac,-20.5167,57.5167,296.36,94,40,1.54,MU,1701206243
124,berezovyy,51.6667,135.7,256.48,87,96,0.45,RU,1701206243
125,arteche,12.2645,125.4048,299.52,90,100,4.48,PH,1701206243
126,selfoss,63.9331,-20.9971,274.43,85,100,2.4,IS,1701206244
127,yeed,4.55,43.0333,299.91,56,26,3.69,SO,1701206244
128,boysun,38.2061,67.1986,285.66,29,79,2.27,UZ,1701206245
129,saipan,15.1355,145.701,300.54,78,40,6.17,MP,1701206245
